Sujetos,lematizado,texto_crudo
30,buen venir cursar mefe método estadístico físico experimental parcial semana venir viernes entonces levanté temprano desayunar tostado jamón queso huevo café leche dos kiwis almorcé todavía cosa hambre después materia cursar primero práctica después teórico hacer trabajo computacional hoy avanzar bastante trabajo 37 venir colectivo 37 bastante vacío hoy subir después siempre explotar mañana saber pensar ir llegar temprano llegar menos 5 tipo ahí justito siempre bastante tránsito hoy saber," Bueno, antes de venir estaba cursando MEFE, o sea, Métodos Estadísticos para Física Experimental, que tenemos el parcial la semana que viene, el viernes. Entonces, antes de eso, me levanté temprano, desayuné una tostada con jamón, queso y huevo, un café con leche y dos kiwis. No almorcé todavía, cosa que tengo hambre. Después, en la materia que estamos cursando, primero tenemos la práctica, después la teórica, estamos haciendo un trabajo computacional, hoy avancé bastante en lo que es este trabajo y eso, no mucho más. 
El 37 estaba... o sea, vengo en el colectivo 37, estaba bastante vacío hoy cuando me subí. Después, como siempre, explota la mañana. No sé, pensaba que iba a llegar más temprano, pero llegué menos 5, tipo ahí justito como siempre. Y había bastante tránsito hoy, no sé por qué."
31,"buen venir acá cursar teoría cuántico campo materia optativo carrera recordar entrevista así salir temprano además comer salir ahí terminar igual estaba… profe terminar comentar detalle salir encontrar profe optativo saludar ver caminar puerta 1 pabellón 1 ahí encontrar ramón compañero secundario todo secundaria ahora cursar biología terminar carrera hacer tesis hablar cosa vida hablar rato dar cuenta hacer tarde ir comprar almuerzo buen dirección comprar yo almuerzo allá kiosco vender pancho dar cuenta ir llegar tiempo fila largo así caminar 0 mientras pensar hacer mirar hora faltar 20 minuto menos mandar mensaje cori ver dónde ir medio perdido encontrar zuley amigo conocer secundario pesar yo conocer haber hacer deporte 5 año buen 5 año mayor contar ir entrevista hablar día parcial cálculo parecer buen cansado altura camenar hacia pabellón 1 ahí comprar sanguchito miga rápido tener panza empezar caminar tranqui casi entrar pabellón industria salir pabellón 1 nunca entrar pabellón industria hablar zuley decir medio turbio decir escuchar historia pabellón industria después leer leer interpretar mensaje cory ir calle auto menos saber ahí hacer opción tomar camino zuley decidir acompañar yo acuerdo camenar pasto camenar parte descanso sillón pabellón industria leer cartel ahora acuerdo exactamente decir "" no cortar césped "" hacer chiste pasar largo calle auto mandar ahí llegar zona saber si emergencia caso incendio buen reunir gente carrera distinto carrera entendido significar cada mensaje ahí explicar zuley buen llegar edificio conocer edificio blanco suponer cori pesar nadie parecer raro edificio grande acuerdo hacer chiste decir biblioteca nacional parecer parecer parecer biblioteca nacional quedar parado lado monumento monumento chiquito parecido chiquito parecer único manera dar él referencia cori pesar ir saber si ir dar cuenta nadie nota monumento demasiado chiquito quedar parado ahí quedar parado esperar contestar mientras hablar zuley vida instagram uso instagram general muye whatsapp decir acuerdo decir instagram poder dejar usar él servir chamuyar ahí empezar hablar decir instagram usar cansar cansar cansar usar él así desinstal usar versión online tampoco recibir cargar ninguno mensaje mandar así momento contestar cori ahí justo contestar hablar sujeto arriba seguridad hecho advertencia tipo dejar auto dejar manera poder sacar decir fíjate déjal prendido poder llegar sacar saber después gritar quién esperar decir esperar alguien decir quién escuchar parecer medio sordo ruido preguntar nombre gritir corina escuchar gritar corina fuerte escuchar ahí hacer demanda decir señalar cabeza apuntar cabeza decir querer hacer él memoria decir decir pasar dentro caminar ahí despedir zuley ir descansar ahí después ir reunión grupo investigación encontrar cori entrar lugar saber dónde tirar envoltorio sándwiche mano comer así decidir guardar yo él parecer tacho lugar edificio parecer biblioteca nacional afuera hablar chica seguridad entender bien dicho tampoco decir nunca nombre asumir dar nombre dado cori ok seguramente camenar hacia pasillo entrar puerta transparente sentar especie escritorio hablar día hacer hablar estructura 3 materia cursar ahora junto preguntar hacer acá mostrar montón puerta nombre animal buen asumir ver animal realizar análisis neuronal buen igual venir venir agarra"," Bueno, antes de venir acá estaba cursando teoría cuántica de campos, una materia optativa de la carrera. Recuerdo que tenía una entrevista, así que salí más temprano, porque además tenía que comer algo. Salí de ahí un poco antes de que termine, igual ya estaba… el profe ya estaba terminando de comentar detalles y cuando salí me encontré con otros profes de otras optativas que tuve antes. No los saludé porque no me vieron. Y caminé para la puerta del 1, del pabellón 1, y ahí me encontré con Ramón, un compañero de la secundaria, de toda la secundaria, que ahora está cursando biología, estaba terminando la carrera, estaba haciendo la tesis, y hablamos de cosas de la vida. Hablamos un rato, me di cuenta que se me hacía tarde para ir a comprar un almuerzo, y bueno fui en dirección a comprarme el almuerzo, que sería allá en el kiosco donde venden panchos, pero me estaba dando cuenta de que no iba a llegar con el tiempo, porque la fila es larga. Así que caminé por el 0 mientras estaba pensando qué hacer, miraba la hora, faltaban 20 minutos, un poco menos, le mandé un mensaje a Cori para ver por dónde tenía que ir porque estaba medio perdido. Y me encontré con Zuley, un amigo que conozco también de la secundaria, a pesar de que no fue conmigo, lo conozco de haber hecho deporte con él todos los 5 años, bueno no los 5 porque él es un año mayor que yo. Y nada, le conté que tenía que ir a la entrevista, hablamos un poco sobre el día, sobre el parcial de cálculo, que parece que estaban todos, bueno, muy cansados ya a esta altura, y caminamos hacia el pabellón 1, ahí me compré unos sanguchitos de miga, algo rápido, para tener algo en la panza, y empezamos a caminar muy tranqui, casi entramos al pabellón de industrias porque salíamos del pabellón 1, yo nunca había entrado al pabellón de industrias, hablamos de eso con Zuley, él me dijo que era medio turbio, yo le dije que sí, que había escuchado historias del pabellón de industrias. Y después de eso leí que tenía que, o sea, leí e interpreté por los mensajes de Cory que tenía que ir por la calle de los autos, donde más o menos sabía que por ahí tenía que hacer, no había otra opción. Y nada, tomamos ese camino porque Zuley decidió acompañarme, y me acuerdo que caminamos por el pasto, no caminamos por la parte donde están los descansos, los sillones del pabellón de industrias, y leímos un cartel, que ahora no me acuerdo exactamente qué decía,“no cortar el césped” e hicimos un chiste sobre eso, y pasamos de largo y fuimos a la calle donde estaban los autos, y le mandamos por ahí, y llegamos a la zona, no sé si es de emergencia o de qué es, para el caso de que haya un incendio, o bueno, donde se reúnen la gente de las carreras, de distintas carreras. Yo no había entendido qué significaba cada mensaje, ahí me lo explicó Zuley, y bueno, llegamos al edificio que no conocía, a un edificio blanco que supuse que era donde estaba Cori, a pesar de que no había nadie, me pareció un poco raro, un edificio muy grande, me acuerdo que hizo un chiste diciendo ¿qué es esto, la biblioteca nacional, parece, me pareció que parecía la biblioteca nacional, y nos quedamos parados al lado de un monumento, un monumento muy chiquito, me había parecido muy chiquito, y que me pareció la única manera de darle referencia a Cori donde estaba, a pesar de que no iba a saber si se iba a dar cuenta, porque nadie nota ese monumento, es demasiado chiquito, y nos quedamos parados ahí, me quedé parado esperando que me contestara, mientras hablábamos con Zuley de la vida, de Instagram, del uso de Instagram en general, del muye, de whatsapp, de todo, y me dijo que, me acuerdo que me dijo que en Instagram no puede dejar de usarlo porque sirve para chamuyar, y ahí empezamos a hablar de eso, yo le dije que el Instagram yo no lo usaba más porque yo me cansé, me cansé porque, nada, me cansé de usarlo, así que me lo desinstalé y por eso estaba usando la versión online, y por eso tampoco me recibía ni cargaba ningún mensaje que me mandaban, así que en ese momento me contestó Cori, y ahí, no, justo antes que me conteste, me habló el sujeto de arriba, el seguridad, que le había hecho una advertencia a un tipo que había dejado el auto y lo había dejado de una manera en la que se lo podían sacar, y él le dijo fíjate, déjalo prendido porque se lo pueden llegar a sacar, qué sé yo, y después nos gritó a nosotros a quién estábamos esperando, yo le dije estábamos esperando a alguien, y me dijo a quién, no nos escuchaba porque parece que estaba medio sordo, había mucho ruido, y me preguntó el nombre, yo le grité Corina, no me escuchó, le tuve que gritar Corina más fuerte, no me escuchó, y ahí me hizo una demanda diciendo, como se señaló la cabeza, se apuntó la cabeza diciendo, te querís hacerle la memoria, le digo sí, y dijo pasa que está dentro, y caminé por ahí, me despedí de Zuley, que se iba a descansar por ahí porque después vamos a una reunión de un grupo de investigación, y me encontré con Cori, entré al lugar, no sabía dónde tirar el envoltorio de sándwiches que tenía en la mano, que ya me había comido, así que decidí guardármelo porque parece que no hay tachos en este lugar, en este edificio que se parece a la biblioteca nacional de afuera, y hablamos con una chica de seguridad, no entendí muy bien qué le había dicho porque tampoco dije nunca mi nombre ni nada, asumo que habrán dado mi nombre, lo habrá dado Cori, sí, ok, seguramente, y caminamos hacia un pasillo donde entramos a una puerta transparente y nos sentamos en una especie de escritorio y hablamos sobre el día, sobre qué estuvimos haciendo y también hablamos un poco de estructura 3, que es la materia que estamos cursando ahora juntos, y le pregunté qué se hacía acá y me mostró un montón de puertas con nombres de animales que bueno, asumimos que tienen que ver con animales que le realizan análisis neuronales y bueno, y todo eso sería igual ya cuando ya vine, o sea que antes de venir, ya no agarra eso.
"
32,venir quedar casa amiga dormir así levanté baño comer banana salir tomar bondi venir acá hacer levantar yo lavar yo cara venir poner mucho alarma costar levantar yo poner 4 5 alarma dormir gatito casa ahí dos gatito solo durmir cama cómodo hermosamente cómodo así dormir súper bien quedar lejos caminar bastante cuadra tomar bondi barrio vivir así tomar bondi venir acá," Antes  de venir, me quedé en la casa de una amiga a dormir, así que me levanté, fui al baño, me comí una banana, salí, tomé el bondi y vine hasta acá. No hacía mucho más que levantarme, lavarme la cara y venir.
 Puse muchas alarmas y me costó mucho levantarme, puse como 4 o 5 alarmas. Dormimos con el gatito de la casa, estaba ahí, eran dos gatitos, uno solo durmió con nosotras, la cama era muy cómoda, hermosamente cómoda, así que dormí súper bien, me quedé un poco lejos, caminé bastantes cuadras para tomar el bondi, pero era un barrio que yo vivía antes, así que fui a tomar el bondi y vine hasta acá.
"
33,buen levanté cansado así ordenar par cosa venir tipo plomero así arreglar casa desastre así dedicar dormir medio mal ayer rendir medio resolver parcial cabeza despertar bastante desagradable,"Bueno, nada, me levanté, estaba un poco cansada, así que ordené un par de cosas porque venía un tipo, un plomero o algo así para arreglar algo que tenemos en casa y era un desastre. Así que me dediqué a eso y nada más. Dormí medio mal porque ayer rendí y medio que me estaba resolviendo el parcial en cabeza cuando me desperté y fue bastante desagradable, pero nada más."
34,venir clase mefe llegar facultad… buen ir empezar principio levanté tarde cansado aunque dormir 9 hora … levanté fijar si auto preguntar viejo final llevar parada tomar bondi esperar 15 minuto bondi buen tomar bondi lleno después llegar acá bajar parada pabellón 1 bueno… llegar clase 50 minuto tarde fijar primero asomer aula ver si asiento libre cerca entrada dar mucho vergüenza entrar clase 50 minuto tarde ver lado roto vez sentir caer así buen sentir allá clase llegar ver clase dos hora clase principio intervalo medio hora tarde llegar comprar agua intervalo después volver clase 11 medio clase comprar tarta pollo sentir sala estudio ver clase teórico dos hora hacer hora venir acá,"Antes de venir, tuve la clase MEFE, o sea que llegué a la facultad… bueno vamos a empezar del principio. Me levanté, muy tarde, estaba cansado, porque aunque dormí como 9 horas… y nada, me levanté, me fijé si tenía el auto, le pregunté a mi viejo, al final me llevaron hasta la parada y me tomó el bondi, estuve esperando que en 15 minutos al bondi, pero bueno, me tomó el bondi y estaba un poco lleno. Y después llegué acá, me bajé a la parada del pabellón 1, y bueno…  llegué a la clase como 50 minutos tarde. Me fijé, primero me asomé un poco al aula, para ver si había asientos libres cerca de donde estaba la entrada, porque nada, me daba mucha vergüenza entrar a la clase como 50 minutos tarde. Y nada, vi que había uno al lado que estaba roto, en el que una vez me senté, y me caí, así que bueno, me senté allá. Y la clase, no llegué a ver mucho de la clase, pero nada, estuve dos horas en la clase, y en él principio del  intervalo, como media hora más tarde de que llegué, me compré un agua en el intervalo, y nada, y después volví a la clase y me fui a las 11 y media de la clase. Me compré una tarta de pollo, y me senté en la sala de estudio a ver las clases teóricas como dos horas, hasta que se hizo la hora de venir acá. 
"
35,ir empezar principio levanté mañana desayunar matar fruto seco si fruto seco después bañar rápidamente parcial física 2 llegar tipo 11 así bañar salir tomar colectivo tomar dos colectivo 109 34 masomeno hacer siempre llegar facultad llegar físico 2 tomar parcial ahí parcial buen general responder consulta denunciado tres hora ayudante ahí hablar vida cosa f2 después salir comer pabellón 1 comer almuerzo menú universitario pabellón 1 ensalada ensalada medio bizarra empanadas combinación hacer gente pabellón 1 después comprar dos churro chocolate después pasar facultad mientras buscar juli toro encontrar encontrar gente cursar e4 amiga quedar charlar rato cursar e4 noriega estudiar cosa carrera caer juli toro buscar encontrar quedar hablar cosa hacer mismo grupo hacer tesis grupo hacer doctorado así quedar hablar cosa agujero negro cosa leer venir acá eh hablar almuerzo hablar sanela cómo parecer gente meca cuatri quejar sanela parecer interrumpar demás docente medio loco crack defender,"Voy a empezar por el principio. Me levanté, a la mañana, desayuné mate con unos frutos secos, si unos frutos secos, después me bañé rápidamente porque teníamos parcial de física 2, y nada, tenía que llegar tipo 11. Así que me bañé, salí, me fui a tomar el colectivo, me tomé dos colectivos, el 109 y el 34, que es masomenos lo que hago siempre, llegué a la facultad, llegué a física 2, estaban tomando parcial, estuve ahí, en el parcial, bueno, por lo general respondemos consultas y denunciados o lo que sea, estuve como tres horas con todos los otros ayudantes ahí, hablando de la vida y cosas de F2, y después salí, comimos. En el pabellón 1, comí el almuerzo de menú universitario del pabellón 1, que era ensalada, ensalada medio bizarra con empanadas, combinaciones que hace la gente  del pabellón 1. Y después me compré dos churros con chocolate, después pasé por la facultad mientras buscaba a Juli Toro, no lo encontré, pero encontré a gente que estaba cursando E4 amiga, me quedé charlando con ellos un rato, ellos fueron a cursar E4, me fui a la Noriega, a estudiar cosas de la carrera, y cayó Juli Toro, que no me estaba buscando, pero nos encontramos, nos quedamos hablando de cosas que tenemos que hacer, porque estamos en el mismo grupo, yo estoy haciendo la tesis con un grupo y él está haciendo el doctorado, así que nos quedamos hablando de cosas de agujeros negros y cosas que tenemos que leer, y me vine para acá. Eh... hablamos en el almuerzo, estuvimos hablando de Sanela, y de cómo parece que la gente de Meca de este cuatri se está quejando de Sanela, porque parece que interrumpe mucho a los demás docentes, y que está medio loco, pero es un crack, yo lo defendí, y... no, no mucho más que eso.
"
36,hacer venir hoy venir venir trabajo así terminar trabajar guardar computadora primero cubrir notebook después mochila agarrar justo dos taza dos bowlcito cereal cosa así quedar así agarrar yo saludar gente mesa trabajo bajar escalera cocina lavar saludar gente abajo abrir puerta salir caminar auto venir acá casi chocar sol justo dar importar medio sol dar cruce auto suerte frenar realmente visto así chocado salir bien llegar acá estacionar baño comprar café comprar agua hacer especie meriendo pasto volver ir baño después venir acá aquí acá facultad ejemplo crucir varios persona así saludar intercambiar palabra saber decir saber hacer foco levanté seis medio sonar primero alarma ignorar así esperar buen realidad levanté siete segundo alarma bañar trabajo mismo ruta hacer siempre raro distinto llegar estacionar caminar trabajo trabajo día común así saber resaltar así profundizar," ¿Qué hice antes de venir? Hoy antes de venir vengo del trabajo, así que nada, terminé de trabajar, guardé mi computadora primero, como en el cubre notebook y después en la mochila. Agarré, tenía justo dos tazas y dos bowlcitos con cereales y cosas así que habían quedado, así que los agarré conmigo, saludé a la gente que estaba en la mesa de trabajo, bajé las escaleras, fui a la cocina, lavé todo, saludé a la gente que estaba abajo, abrí la puerta, salí. Caminé hasta el auto, vine hasta acá, casi choco, sí, sí, sí, porque el sol justo estaba dando, no importa, estaba medio en otra y el sol me dio en un cruce y el auto por suerte frenó porque yo realmente no lo había visto, así que lo hubiera chocado, pero salió todo bien. Llegué acá, estacioné, fui al baño, me compré un café, me compré un agua, hice una especie de merienda en el pasto, volví a ir al baño y después vine hasta acá y aquí estoy. Acá en la facultad por ejemplo me crucé con varias personas, así que nos saludamos, intercambiamos palabras. No sé qué decir, no sé en qué hacer el foco.
 Me levanté a eso de las seis y media, sonó la primera alarma, la ignoré, así que esperé, bueno en realidad me levanté a las siete con la segunda alarma, me bañé, fui al trabajo, fui por la misma ruta que hago siempre, no había nada raro. Sí, nada distinto. Llegué, estacioné, caminé al trabajo, en el trabajo fue un día común, así que no sabría resaltar nada, así como profundizar.
"
37,doler cabeza día cursar así sentir decir anotar después amigo decir colaborar ciencia así decir buen gustar ciencia decir buen verdad ir colaborar así ahí decir buen ir hacer él sentir gana decir anotar momento cabeza tanto cosa querer anotar yo decir buen emocionado buen ver justo charlar dos profesor terminar carrera dato char él hacer futuro entonces emocionar montón buen saber final carrera tener tanto rama abierto poder visualizar él cerca saber rama querer sentir él cada vez cerca emocionar entonces cada char él cada evento hacer sentir cerca emocionar después empanado lunes horrible empanada verdura insulzar ensalada terrible feo buen después trabajar todo tarde así dolor cabeza acuerdo demás,"Me dolía la cabeza, estuve todo el día cursando, así que me sentía como diciendo ¿para qué me anoté? Pero después tuve un amigo que me dijo, no, estás colaborando con la ciencia, así que dije, bueno, como a mí me gusta la ciencia, dije, bueno, es verdad, vamos a colaborar, así que ahí dije, bueno, vamos a hacerlo y me sentí con más ganas, pero antes dije, por qué me anoté, en qué momento de mi cabeza con tantas cosas quería anotarme, porque dije que sí, pero bueno, eso. Estuve muy emocionada, porque, bueno, no tiene nada que ver con esto, pero justo charlamos con dos profesores, yo estoy terminando la carrera de datos y tuvimos como una charla más de qué hacer en el futuro, entonces eso me emocionó un montón, porque bueno, es como, no sé, cuando estás en el final de la carrera, tenés tantas ramas abiertas y el poder visualizarlo y estar más cerca y saber qué rama quiero y sentirlo cada vez más cerca, es como que emociona y entonces cada charla o cada evento que tengo que me hace sentir más cerca, es como que emociona. Y después, nada, las empanadas de lunes son horribles, las empanadas de verdura, insulza, la ensalada, terrible, muy fea, pero bueno, después ya estuve como trabajando durante toda la tarde, así que fue más el dolor de cabeza lo que me acuerdo que todo lo demás.
"
38,venir hacer tp sala lectura cero compus tp entregar semana venir venir hacer hacer par semana amigo dos celus compus micrófono terminar medio desconcentrado medio aburrido tp comer alfajor poder entrar aula entrar siempre 1106 sino ver cosa hacer entrar grupo chico decir obvio poder entrar cualquiera grupo funcionar saber cuánto detalle mas querés contar enchufé celular abajo cosa desenchufar computadora sentir todo bandida batería amigo cursar," Antes de venir estaba haciendo un TP en la sala de lectura del cero, estábamos en las compus. Es un TP que tenemos que entregar la semana que viene, venimos haciendo hace un par de semanas, estaba con un amigo, estábamos los dos con nuestros celus, porque las compus no tiene micrófono. Lo terminamos, yo estaba medio desconcentrada porque estaba medio aburrida ya del TP, me comí un alfajor. No pudimos entrar al aula que entramos siempre, que es la 1106, sino a la otra porque se ve que había otra cosa haciendo y entramos y había un grupo de chicos y nos dijo que sí obvio pueden entrar en cualquier grupo que funcione. No sé cuántos detalles mas querés que te cuente. Enchufé mi celular abajo de la cosa, desenchufé una computadora, me sentí toda una bandida porque no tenía batería y eso. Antes de eso con mi amigo también habíamos estado cursando.
"
39,hoy hacer verdad dormir tarde ayer noche así hoy despertar relativamente tarde después desayunar 11 ponelar casa único hacer poner ver vídeo youtube mientras dejar pasar tiempo hablar amigo whatsapp contestar mensaje decidir venir tiempo vivo hora viaje así empezar venir tiempo quedar esperar comer pabellón 1 saber cuánto detalle dar amigo hablar salir teaser trailer película five night at freddy ayer demasiado conocimiento vídeo visto amigo podcast terror así hacer pregunta cosa poder hablar película podcast si contar noche dormir yo además dormir tarde técnicamente hoy tratar aprender usar react herramienta generar aplicación web realidad framework react específico llamar next así seguir tutorial," Hoy no hice mucho la verdad, me fui a dormir tarde ayer a la noche así que hoy también me desperté relativamente tarde. Después de desayunar a eso de las 11, ponele en mi casa, lo único que hice fue poner a ver vídeos de YouTube mientras dejé pasar el tiempo. Me hablé con algunos amigos por WhatsApp, contesté algunos mensajes y decidí venir con algo de tiempo, yo vivo a una hora y algo de viaje, así que empecé a venir con tiempo y me quedé esperando, comiendo algo en el pabellón 1. No sé cuántos más detalles tendría que dar. Con algunos amigos estuve hablando sobre que salió un teaser trailer de la película de Five Nights at Freddy's ayer y yo tengo demasiado conocimiento de eso por vídeos que he visto y tengo unos amigos que tienen un podcast de terror así que me estuvieron haciendo preguntas y cosas para poder hablar de la película en su podcast. Si cuenta la noche antes de dormirme, además porque no me dormí tarde, técnicamente es hoy. Estuve tratando de aprender a usar React, que es una herramienta para generar aplicaciones web, en realidad un framework de React específico que se llama Next, así que estuve siguiendo tutoriales de eso. Eso es todo.
"
40,venir clase pabellón 1 acá ciudad universitario clase estructura 4 dar pabellón 0 pasar ahí siempre adentro 1 dar aula estilo canónico clase acá profesor enfrente clase hablar yo hacia escribir cosa pizarrón ser 25 30 alumno último hora medio venir acá almorzado hora medio clase mismo formato saber extenso tiempo querés contar día empezar ahí empezar casa viajar acá clase decir mayor cantidad detalle posible suponer poder decir clase general primero parte clase teórico profesor otero ibarzón después receso encontrar amigo tampoco almorzado igual entonces almorzar después almorzar volver clase vez parte práctico profesor nacho acuerdo apellido dos ayudante general dar clase ayudante sentado fondo aula solamente esperar terminar todo clase sentado lado maya amiga encontrar justo empezar clase vivir mismo barrio vez poner acuerdo venir hoy caso vinir cada separado encontrar aula entrar sentado quedar dormido últimamente clase venir genial tampoco profesor discuto entonces despertar situación diálogo profesor clase caso profesor preguntar tratar responder revés hacer pregunta responder tal punto final parte teórico después primero hora medio profesor mirar decir ver comprar convencer decir tener razón convencer medio raro contar buen poder formular pregunta concreto sacar duda así decir próximo vez si ocurrir preguntar listo después clase práctico venir después intervalo menos intenso requerir pensar menos solamente hacer cuenta ver diagrama feynman final interesante ahí hablar profesor hablar siempre despertar entonces si clase venir medio aburrido materia soler pasar hablar compañero compañera lado profesor despierto paso final clase práctico todo clase teórico maia medio quedar dormido así charlar tampoco hoy venir cami general convedir mate bajón detalle a eh pasar gracioso hoy nico compañero llegar toque tarde dejar mochila aula levantar casi inmediatamente caer 200 peso ver entonces maia ver todo secuencia decir pasar totalmente colgado chabón olvidar nunca volver entrar clase teórico recién volver clase práctico clase teórico escapar todo así llegar poner mochila todo clase teórico gracioso ver mochila 200 peso piso después supuesto hacer agarrar poner el mochila 200 peso volver perder gracioso," Antes de venir, estaba en clase en el pabellón 1 de acá de Ciudad Universitaria, en una clase de estructura 4, que se da en el pabellón 0, pasa ahí siempre adentro por el 1, que se da en un aula del estilo canónico de las clases de acá, estaba el profesor enfrente de la clase, hablándonos hacia nosotros y escribiendo cosas en el pizarrón, nosotros siendo entre 25 y 30 alumnos. Eso fue la última hora y media antes de venir acá. Antes de eso había almorzado, antes de eso otra hora y media de clase con el mismo formato. Y no sé hasta qué extenso de tiempo querés que cuente, pero... Mi día empezó ahí, empecé en mi casa, viajé hasta acá y tuve clases. Eso es todo. Como decía, con la mayor cantidad de detalles posibles, supongo que te puedo decir un poco de la clase en general, que es la primera parte de la clase fue teórica, con el profesor Otero Ibarzón. Y después, en el receso, me encontré con un amigo que tampoco había almorzado igual que yo, entonces fuimos a almorzar y después de almorzar volvimos a la clase, esta vez a la parte práctica, que es con otro profesor, Nacho, no me acuerdo el apellido, que tiene dos ayudantes, pero en general, como las dan de a uno en las clases, los ayudantes estaban sentados en el fondo del aula solamente esperando que se termine. Durante toda la clase estuve sentado al lado de Maya, que es una amiga mía, y que nos encontramos justo antes de empezar la clase, como vivimos en el mismo barrio, a veces nos ponemos de acuerdo para venir, pero hoy no fue el caso, vinimos cada uno por separado, y nos encontramos en el aula antes de entrar. Estuvimos sentados, ella se estaba como quedando dormida, últimamente con la clase no viene genial. Yo tampoco, pero con el profesor discuto un poco más, entonces a mí me despierta mucho de esta situación de diálogo con el profesor, y en esta clase fue el caso, el profesor preguntaba algo y yo trataba de responder, o al revés, yo le hacía una pregunta y él me respondía, a tal punto que al final de la parte teórica, después de la primera hora y media, el profesor me miraba y me decía veo como que no compraste algo, como que no te convencí, y yo le decía sí, tenés razón, no me convencí del todo, porque es medio raro lo que me estás contando, pero bueno, no pude formular una pregunta concreta que me saque la duda, así que le dije la próxima vez, si se me ocurre algo te lo pregunto, y listo. Después la clase práctica, la que vino después del intervalo, fue mucho menos intensa para mí, me requirió pensar menos, solamente es hacer las cuentas y ya. Vimos diagramas de Feynman sobre el final, que eso sí es un poco más interesante, ahí hablo un poco más con el profesor, hablar siempre me despierta, entonces es como si la clase viene medio aburrida, que con esta materia me suele pasar, hasta que no hablo con el compañero o la compañera que tengo al lado, o con el profesor, no me despierto y me paso al final de la clase práctica y durante toda la clase teórica. Y Maia se estaba medio quedando dormida, así que mucho no charlé con ella tampoco. Y hoy no vino Cami, que es la que en general nos convida a mate, eso fue un bajón. ¿Qué otro detalle? Ah, pasó algo muy gracioso hoy, que es que Nico, un compañero nuestro, llegó un toque tarde, dejó la mochila en el aula, se levantó y se fue casi inmediatamente, se le cayeron 200 pesos, no lo vio, entonces estuvimos con Maia viendo toda la secuencia y dijimos qué le pasa, está totalmente colgado, el chabón se está olvidando de todo. Nunca volvió a entrar a la clase teórica, recién volvió para la clase práctica, pero la clase teórica se escapó toda, así como que llegó, puso la mochila y se fue. No estuvo en toda la clase teórica, fue muy gracioso, vimos su mochila y sus 200 pesos en el piso. Después, por supuesto, lo que hice fue agarrar, ponerlos en la mochila, los 200 pesos, y le volvieron a él, no los perdió, pero fue gracioso. Nada más. 
"
41,ok buen cuento hacer venir hoy peluquería cortar pelo novio peluquería rulo tres peluquera atender chica dulce paler mo departamento planta bajo cada sesión durar hora medio dos sesión seguido cortar pelo lavar secar finalizar novio dar vaso agua baño último pagar salir facultad creer poder detallar tú allá después buen vinir facultad ayudante materia particular hoy dar clase responder consulta pabellón sentado interactuir compañero profe clase bastante tranquilo así cosa tanto poder resaltar decir después venir acá,"Ok. Bueno, te cuento lo que hice antes de venir. Estuve hoy en la peluquería, me fui a cortar el pelo. Fui con mi novio, era una peluquería de rulos, eran tres peluqueras y nos atendió una chica muy dulce, y esto fue en Palermo, en un departamento en Planta Baja. Cada sesión duró hora y media, porque fueron dos sesiones seguidas. Me cortaron el pelo, me lo lavaron, me lo secaron y me lo finalizaron, a mi novio también. Me dieron un vaso de agua, fui al baño y a lo último de todo, pagamos, y salimos para la facultad. Y creo que eso sería lo que más podría detallarte. Más allá de eso, después bueno, vinimos para la facultad, estuve ayudante en una materia, pero en particular hoy dieron clases, estuve más que nada para responder consultas, estuve en el pabellón uno, sentada. Interactúe con algunos de mis compañeros, de otros profes. Y fue una clase bastante tranquila, así que no hubo cosas tan... Algo que pudiera resaltar, digamos. Eso, y después vine para acá.
"
42,buen venir hoy mañana despertar terminar estudiar parcial mate 2 hoy ahora 2 tarde terminar estudiar último tema preguntar par amigo último cosa faltar venir acá venir pabellón 2 venir 34 bondi tomo casa seguir preguntar cosa faltar entrar rendir hacer todo cosa traje chocolate comer parcial después terminar quedar charlar amigo tomar alguno día volver casa menos punto llegar primero parada dar cuenta venir acá bajar venir caminar llegar menos bien ubicar menos quedar fijado hoy mañana cómo ir venir llegar acá buen acuerdo terminar entrenar hoja parcial contar profe caer re bien profe mate 2 ir bien punto 2 error signo arruinar punto 2 tiempo arreglar él,"Bueno, nada, antes de venir, hoy a la mañana me desperté, terminé de estudiar para el parcial de Mate 2 que tenía hoy, ahora a las 2 de la tarde era. Nada, terminé de estudiar los últimos temas, le pregunté a un par de amigos las últimas cosas que me faltaban, vine para acá. Vine al pabellón 2, vine en el 34 que es el bondi que me tomo desde mi casa, también le seguí preguntando cosas que me faltaban. Entré, rendí, hice todas las cosas, me traje un chocolate para comer en el parcial, después terminé, me quedé charlando con mis amigos. Me tomé el bondi para volver a mi casa y cuando estaba más o menos a punto de llegar a la primera parada, me di cuenta que tenía que venir para acá. Me bajé, vine caminando, llegué más o menos bien, me ubicaba más o menos donde quedaba porque me había fijado hoy a la mañana cómo iba a venir y llegué acá. Bueno, también me acuerdo que terminé de entregar la hoja del parcial, le conté a mi profe, que me cae re bien mi profe de Mate 2, que me había ido bien pero que en el punto 2 por un error de signo me arruinó todo el punto 2 y no tenía tiempo para arreglarlo."
